Code,Title,Description,Link
13101,Property administrators,"Property administrators perform administrative duties and coordinate activities related to the management and rental of investment property and real estate on behalf of property and strata property owners. They are employed by property, real estate and strata services management companies, property development companies and by government.",https://noc.esdc.gc.ca/Structure/NocProfile?objectid=6VSUgLI%2Fo0x0LXr316NiFh1DsNeXQsPH4ddQez0VkMk%3D
13102,Payroll administrators,"Payroll administrators collect, verify and process payroll information, determine pay and benefit entitlements for employees, maintain accurate payroll records, and provide payroll information within a department, company or other establishment. They are employed by payroll administration companies and by establishments throughout the public and private sectors.",https://noc.esdc.gc.ca/Structure/NocProfile?objectid=e75qqIdDuznhyIjyZ4kl2NIBfIdAaB0rnc19niJNZoM%3D
13110,Administrative assistants,Administrative assistants perform a variety of administrative duties in support of managerial and professional employers. They are employed throughout the private and public sectors.,https://noc.esdc.gc.ca/Structure/NocProfile?objectid=nv43506ySrR1yD43y22evPTLz5O1RP%2F0v2BguXW0fDw%3D
13111,Legal administrative assistants,"Legal administrative assistants perform a variety of secretarial and administrative duties in law offices, legal departments of large firms, real estate companies, land title offices, municipal, provincial and federal courts and government.",https://noc.esdc.gc.ca/Structure/NocProfile?objectid=jiuO3TpkvDAeUBkvqGdAgXo2i6rARGRsVQQatufTqhc%3D
13112,Medical administrative assistants,"Medical administrative assistants perform a variety of secretarial and administrative duties in doctor's offices, hospitals, medical clinics and other medical settings.",https://noc.esdc.gc.ca/Structure/NocProfile?objectid=EW2zrMwH3neUcTQsit0nAfCU76ypumkhqe3m2IJH7SA%3D
13200,"Customs, ship and other brokers","Customs brokers clear goods through customs and to their destination on behalf of importer and exporter clients. Shipbrokers buy and sell cargo space on ships and buy and sell ships, yachts and other watercraft on behalf of clients. This unit group also includes other brokers who negotiate commercial transactions, logistics or other services between parties on behalf of clients. They are employed by customs, ship or other brokerage establishments or may be self-employed.",https://noc.esdc.gc.ca/Structure/NocProfile?objectid=6D2Z638Q2EufqWHB4LsAtH6FNxwt%2BYeZ6wHqBdMkgSE%3D
13201,Production and transportation logistics coordinators,"Production logistics coordinators coordinate and expedite the flow of work within an establishment, prepare work and production schedules and monitor the progress of production and construction projects. Transportation logistics coordinators coordinate and monitor the movement of products and ensure that products are shipped and received on schedule. They are employed by manufacturing and construction companies and other industrial establishments.",https://noc.esdc.gc.ca/Structure/NocProfile?objectid=KAGfUiDyKbOpdsDdOPscoJvGtmr7%2FWrAbgL%2BlnvV244%3D
14100,General office support workers,"General office support workers prepare correspondence, reports, statements and other material, operate office equipment, answer telephones, verify, record and process forms and documents such as contracts and requisitions and perform general clerical duties according to established procedures. They are employed in offices throughout the public and private sectors.",https://noc.esdc.gc.ca/Structure/NocProfile?objectid=6x3AIkw5rJ97626DEcEF3zLlgk2duSAuzFPjxWR7U7M%3D
14101,Receptionists,"Receptionists greet people arriving at offices, hospitals and other establishments, direct visitors to appropriate person or service, answer and forward telephone calls, take messages, schedule appointments and perform other clerical duties. They are employed by hospitals, medical and dental offices and other offices throughout the public and private sectors. Telephone operators are included in this group.",https://noc.esdc.gc.ca/Structure/NocProfile?objectid=yPxoZk14Lcb9voOPL4vylUrf0gZKwwni8CXll7NMNjw%3D
14102,Personnel clerks,"Personnel clerks assist personnel officers and human resources specialists and compile, maintain and process information relating to staffing, recruitment, training, labour relations, performance evaluations and classifications. They are employed in personnel departments throughout the private and public sectors.",https://noc.esdc.gc.ca/Structure/NocProfile?objectid=jqIhlS7NOTurzCEd5evfRbgeU58rT9qtuoJN%2BRfTZMc%3D
14103,Court clerks and related court services occupations,"Court clerks and workers in related court services occupations perform administrative, security, and other support functions for courts of law such as scheduling trials, processing service fees, calling court to order, preparing court dockets and maintaining exhibits, recording trial proceedings and maintaining court records. They also facilitate court security and public safety, liaise with law enforcement organizations, and provide support to the judiciary. They are employed by federal, provincial, territorial and municipal courts and by police forces.",https://noc.esdc.gc.ca/Structure/NocProfile?objectid=yOdyftYT93mRvR7yCWDujwT6QaK76k%2Bgvp60%2FcO1daQ%3D
